epoch=001,Accuracy= 0.409%
epoch=002,Accuracy= 0.459%
epoch=003,Accuracy= 0.521%
epoch=004,Accuracy= 0.635%
epoch=005,Accuracy= 0.686%
epoch=006,Accuracy= 0.688%
epoch=007,Accuracy= 0.710%
epoch=008,Accuracy= 0.744%
epoch=009,Accuracy= 0.743%
epoch=010,Accuracy= 0.755%
epoch=011,Accuracy= 0.750%
epoch=012,Accuracy= 0.788%
epoch=013,Accuracy= 0.797%
epoch=014,Accuracy= 0.790%
epoch=015,Accuracy= 0.794%
epoch=016,Accuracy= 0.800%
epoch=017,Accuracy= 0.811%
epoch=018,Accuracy= 0.808%
epoch=019,Accuracy= 0.819%
epoch=020,Accuracy= 0.817%
