[epoch:1, iter:1] Loss: 2.303 | Acc: 9.375% 
[epoch:1, iter:21] Loss: 2.302 | Acc: 10.863% 
[epoch:1, iter:41] Loss: 2.302 | Acc: 11.014% 
[epoch:1, iter:61] Loss: 2.301 | Acc: 10.937% 
[epoch:1, iter:81] Loss: 2.299 | Acc: 10.880% 
[epoch:1, iter:101] Loss: 2.289 | Acc: 11.525% 
[epoch:1, iter:121] Loss: 2.275 | Acc: 12.616% 
[epoch:1, iter:141] Loss: 2.260 | Acc: 13.431% 
[epoch:1, iter:161] Loss: 2.248 | Acc: 13.927% 
[epoch:1, iter:181] Loss: 2.236 | Acc: 14.606% 
[epoch:1, iter:201] Loss: 2.227 | Acc: 15.042% 
[epoch:1, iter:221] Loss: 2.219 | Acc: 15.399% 
[epoch:1, iter:241] Loss: 2.209 | Acc: 15.845% 
[epoch:1, iter:261] Loss: 2.203 | Acc: 16.062% 
[epoch:1, iter:281] Loss: 2.195 | Acc: 16.409% 
[epoch:1, iter:301] Loss: 2.187 | Acc: 16.648% 
[epoch:1, iter:321] Loss: 2.180 | Acc: 17.003% 
[epoch:1, iter:341] Loss: 2.171 | Acc: 17.389% 
[epoch:1, iter:361] Loss: 2.163 | Acc: 17.759% 
[epoch:1, iter:381] Loss: 2.157 | Acc: 17.946% 
[epoch:1, iter:401] Loss: 2.149 | Acc: 18.251% 
[epoch:1, iter:421] Loss: 2.140 | Acc: 18.646% 
[epoch:1, iter:441] Loss: 2.131 | Acc: 18.998% 
[epoch:1, iter:461] Loss: 2.124 | Acc: 19.258% 
[epoch:1, iter:481] Loss: 2.117 | Acc: 19.533% 
[epoch:1, iter:501] Loss: 2.110 | Acc: 19.832% 
[epoch:1, iter:521] Loss: 2.100 | Acc: 20.229% 
[epoch:1, iter:541] Loss: 2.094 | Acc: 20.480% 
[epoch:1, iter:561] Loss: 2.087 | Acc: 20.775% 
[epoch:1, iter:581] Loss: 2.081 | Acc: 21.057% 
[epoch:1, iter:601] Loss: 2.074 | Acc: 21.347% 
[epoch:1, iter:621] Loss: 2.068 | Acc: 21.553% 
[epoch:1, iter:641] Loss: 2.061 | Acc: 21.836% 
[epoch:1, iter:661] Loss: 2.056 | Acc: 22.066% 
[epoch:1, iter:681] Loss: 2.051 | Acc: 22.270% 
[epoch:1, iter:701] Loss: 2.046 | Acc: 22.510% 
[epoch:1, iter:721] Loss: 2.041 | Acc: 22.709% 
[epoch:1, iter:741] Loss: 2.036 | Acc: 22.893% 
[epoch:1, iter:761] Loss: 2.030 | Acc: 23.140% 
[epoch:1, iter:781] Loss: 2.026 | Acc: 23.311% 
[epoch:2, iter:783] Loss: 1.796 | Acc: 39.062% 
[epoch:2, iter:803] Loss: 1.773 | Acc: 32.515% 
[epoch:2, iter:823] Loss: 1.793 | Acc: 32.317% 
[epoch:2, iter:843] Loss: 1.797 | Acc: 32.275% 
[epoch:2, iter:863] Loss: 1.809 | Acc: 31.829% 
[epoch:2, iter:883] Loss: 1.813 | Acc: 31.791% 
[epoch:2, iter:903] Loss: 1.807 | Acc: 32.141% 
[epoch:2, iter:923] Loss: 1.806 | Acc: 32.436% 
[epoch:2, iter:943] Loss: 1.807 | Acc: 32.250% 
[epoch:2, iter:963] Loss: 1.805 | Acc: 32.243% 
[epoch:2, iter:983] Loss: 1.799 | Acc: 32.579% 
[epoch:2, iter:1003] Loss: 1.799 | Acc: 32.459% 
[epoch:2, iter:1023] Loss: 1.795 | Acc: 32.670% 
[epoch:2, iter:1043] Loss: 1.791 | Acc: 32.795% 
[epoch:2, iter:1063] Loss: 1.787 | Acc: 32.901% 
[epoch:2, iter:1083] Loss: 1.785 | Acc: 32.771% 
[epoch:2, iter:1103] Loss: 1.785 | Acc: 32.798% 
[epoch:2, iter:1123] Loss: 1.784 | Acc: 32.803% 
[epoch:2, iter:1143] Loss: 1.784 | Acc: 32.895% 
[epoch:2, iter:1163] Loss: 1.781 | Acc: 33.050% 
[epoch:2, iter:1183] Loss: 1.777 | Acc: 33.171% 
[epoch:2, iter:1203] Loss: 1.772 | Acc: 33.432% 
[epoch:2, iter:1223] Loss: 1.768 | Acc: 33.546% 
[epoch:2, iter:1243] Loss: 1.766 | Acc: 33.680% 
[epoch:2, iter:1263] Loss: 1.764 | Acc: 33.755% 
[epoch:2, iter:1283] Loss: 1.762 | Acc: 33.895% 
[epoch:2, iter:1303] Loss: 1.759 | Acc: 34.045% 
[epoch:2, iter:1323] Loss: 1.756 | Acc: 34.187% 
[epoch:2, iter:1343] Loss: 1.755 | Acc: 34.222% 
[epoch:2, iter:1363] Loss: 1.752 | Acc: 34.429% 
[epoch:2, iter:1383] Loss: 1.750 | Acc: 34.560% 
[epoch:2, iter:1403] Loss: 1.749 | Acc: 34.637% 
[epoch:2, iter:1423] Loss: 1.747 | Acc: 34.743% 
[epoch:2, iter:1443] Loss: 1.744 | Acc: 34.893% 
[epoch:2, iter:1463] Loss: 1.742 | Acc: 34.960% 
[epoch:2, iter:1483] Loss: 1.740 | Acc: 35.046% 
[epoch:2, iter:1503] Loss: 1.737 | Acc: 35.203% 
[epoch:2, iter:1523] Loss: 1.735 | Acc: 35.269% 
[epoch:2, iter:1543] Loss: 1.733 | Acc: 35.381% 
[epoch:2, iter:1563] Loss: 1.730 | Acc: 35.495% 
[epoch:3, iter:1565] Loss: 1.396 | Acc: 57.812% 
[epoch:3, iter:1585] Loss: 1.567 | Acc: 41.518% 
[epoch:3, iter:1605] Loss: 1.590 | Acc: 41.006% 
[epoch:3, iter:1625] Loss: 1.595 | Acc: 41.317% 
[epoch:3, iter:1645] Loss: 1.599 | Acc: 41.011% 
[epoch:3, iter:1665] Loss: 1.598 | Acc: 41.043% 
[epoch:3, iter:1685] Loss: 1.611 | Acc: 40.612% 
[epoch:3, iter:1705] Loss: 1.609 | Acc: 40.847% 
[epoch:3, iter:1725] Loss: 1.600 | Acc: 41.139% 
[epoch:3, iter:1745] Loss: 1.601 | Acc: 41.005% 
[epoch:3, iter:1765] Loss: 1.603 | Acc: 41.060% 
[epoch:3, iter:1785] Loss: 1.603 | Acc: 41.169% 
[epoch:3, iter:1805] Loss: 1.596 | Acc: 41.461% 
[epoch:3, iter:1825] Loss: 1.597 | Acc: 41.397% 
[epoch:3, iter:1845] Loss: 1.589 | Acc: 41.631% 
[epoch:3, iter:1865] Loss: 1.589 | Acc: 41.762% 
[epoch:3, iter:1885] Loss: 1.587 | Acc: 41.959% 
[epoch:3, iter:1905] Loss: 1.587 | Acc: 42.045% 
[epoch:3, iter:1925] Loss: 1.588 | Acc: 42.062% 
[epoch:3, iter:1945] Loss: 1.588 | Acc: 42.064% 
[epoch:3, iter:1965] Loss: 1.589 | Acc: 42.102% 
[epoch:3, iter:1985] Loss: 1.587 | Acc: 42.199% 
[epoch:3, iter:2005] Loss: 1.586 | Acc: 42.219% 
[epoch:3, iter:2025] Loss: 1.584 | Acc: 42.306% 
[epoch:3, iter:2045] Loss: 1.581 | Acc: 42.477% 
[epoch:3, iter:2065] Loss: 1.579 | Acc: 42.515% 
[epoch:3, iter:2085] Loss: 1.577 | Acc: 42.667% 
[epoch:3, iter:2105] Loss: 1.575 | Acc: 42.670% 
[epoch:3, iter:2125] Loss: 1.573 | Acc: 42.745% 
[epoch:3, iter:2145] Loss: 1.571 | Acc: 42.790% 
[epoch:3, iter:2165] Loss: 1.569 | Acc: 42.874% 
[epoch:3, iter:2185] Loss: 1.567 | Acc: 42.945% 
[epoch:3, iter:2205] Loss: 1.565 | Acc: 43.014% 
[epoch:3, iter:2225] Loss: 1.563 | Acc: 43.074% 
[epoch:3, iter:2245] Loss: 1.561 | Acc: 43.108% 
[epoch:3, iter:2265] Loss: 1.560 | Acc: 43.211% 
[epoch:3, iter:2285] Loss: 1.557 | Acc: 43.382% 
[epoch:3, iter:2305] Loss: 1.554 | Acc: 43.486% 
[epoch:3, iter:2325] Loss: 1.551 | Acc: 43.633% 
[epoch:3, iter:2345] Loss: 1.551 | Acc: 43.638% 
