[epoch:1, iter:1] Loss: 2.297 | Acc: 10.938% 
[epoch:1, iter:21] Loss: 2.301 | Acc: 10.193% 
[epoch:1, iter:41] Loss: 2.300 | Acc: 10.366% 
[epoch:1, iter:61] Loss: 2.298 | Acc: 11.373% 
[epoch:1, iter:81] Loss: 2.295 | Acc: 11.786% 
[epoch:1, iter:101] Loss: 2.293 | Acc: 12.222% 
[epoch:1, iter:121] Loss: 2.292 | Acc: 12.371% 
[epoch:1, iter:141] Loss: 2.291 | Acc: 12.699% 
[epoch:1, iter:161] Loss: 2.288 | Acc: 13.218% 
[epoch:1, iter:181] Loss: 2.286 | Acc: 13.475% 
[epoch:1, iter:201] Loss: 2.285 | Acc: 13.713% 
[epoch:1, iter:221] Loss: 2.282 | Acc: 14.084% 
[epoch:1, iter:241] Loss: 2.281 | Acc: 14.095% 
[epoch:1, iter:261] Loss: 2.280 | Acc: 14.194% 
[epoch:1, iter:281] Loss: 2.278 | Acc: 14.524% 
[epoch:1, iter:301] Loss: 2.276 | Acc: 14.649% 
[epoch:1, iter:321] Loss: 2.275 | Acc: 14.924% 
[epoch:1, iter:341] Loss: 2.274 | Acc: 15.066% 
[epoch:1, iter:361] Loss: 2.272 | Acc: 15.300% 
[epoch:1, iter:381] Loss: 2.270 | Acc: 15.543% 
[epoch:1, iter:401] Loss: 2.269 | Acc: 15.660% 
[epoch:1, iter:421] Loss: 2.267 | Acc: 15.818% 
[epoch:1, iter:441] Loss: 2.266 | Acc: 16.025% 
[epoch:1, iter:461] Loss: 2.265 | Acc: 16.235% 
[epoch:1, iter:481] Loss: 2.263 | Acc: 16.447% 
[epoch:1, iter:501] Loss: 2.261 | Acc: 16.670% 
[epoch:1, iter:521] Loss: 2.260 | Acc: 16.858% 
[epoch:1, iter:541] Loss: 2.259 | Acc: 17.011% 
[epoch:1, iter:561] Loss: 2.257 | Acc: 17.221% 
[epoch:1, iter:581] Loss: 2.256 | Acc: 17.368% 
[epoch:1, iter:601] Loss: 2.254 | Acc: 17.622% 
[epoch:1, iter:621] Loss: 2.252 | Acc: 17.859% 
[epoch:1, iter:641] Loss: 2.251 | Acc: 18.055% 
[epoch:1, iter:661] Loss: 2.248 | Acc: 18.353% 
[epoch:1, iter:681] Loss: 2.247 | Acc: 18.553% 
[epoch:1, iter:701] Loss: 2.245 | Acc: 18.779% 
[epoch:1, iter:721] Loss: 2.243 | Acc: 18.988% 
[epoch:1, iter:741] Loss: 2.242 | Acc: 19.220% 
[epoch:1, iter:761] Loss: 2.240 | Acc: 19.401% 
[epoch:1, iter:781] Loss: 2.239 | Acc: 19.622% 
[epoch:2, iter:783] Loss: 2.238 | Acc: 23.438% 
[epoch:2, iter:803] Loss: 2.172 | Acc: 27.679% 
[epoch:2, iter:823] Loss: 2.174 | Acc: 27.439% 
[epoch:2, iter:843] Loss: 2.177 | Acc: 27.254% 
[epoch:2, iter:863] Loss: 2.170 | Acc: 27.894% 
[epoch:2, iter:883] Loss: 2.168 | Acc: 28.125% 
[epoch:2, iter:903] Loss: 2.165 | Acc: 28.796% 
[epoch:2, iter:923] Loss: 2.164 | Acc: 28.890% 
[epoch:2, iter:943] Loss: 2.165 | Acc: 28.707% 
[epoch:2, iter:963] Loss: 2.164 | Acc: 28.703% 
[epoch:2, iter:983] Loss: 2.162 | Acc: 28.910% 
[epoch:2, iter:1003] Loss: 2.160 | Acc: 29.122% 
[epoch:2, iter:1023] Loss: 2.159 | Acc: 29.279% 
[epoch:2, iter:1043] Loss: 2.156 | Acc: 29.652% 
[epoch:2, iter:1063] Loss: 2.155 | Acc: 29.743% 
[epoch:2, iter:1083] Loss: 2.155 | Acc: 29.724% 
[epoch:2, iter:1103] Loss: 2.154 | Acc: 29.790% 
[epoch:2, iter:1123] Loss: 2.154 | Acc: 29.820% 
[epoch:2, iter:1143] Loss: 2.151 | Acc: 30.133% 
[epoch:2, iter:1163] Loss: 2.149 | Acc: 30.417% 
[epoch:2, iter:1183] Loss: 2.148 | Acc: 30.521% 
[epoch:2, iter:1203] Loss: 2.148 | Acc: 30.567% 
[epoch:2, iter:1223] Loss: 2.146 | Acc: 30.747% 
[epoch:2, iter:1243] Loss: 2.146 | Acc: 30.731% 
[epoch:2, iter:1263] Loss: 2.146 | Acc: 30.772% 
[epoch:2, iter:1283] Loss: 2.145 | Acc: 30.798% 
[epoch:2, iter:1303] Loss: 2.145 | Acc: 30.854% 
[epoch:2, iter:1323] Loss: 2.144 | Acc: 30.880% 
[epoch:2, iter:1343] Loss: 2.143 | Acc: 31.049% 
