epoch=001,Accuracy= 0.575%
epoch=002,Accuracy= 0.698%
epoch=003,Accuracy= 0.741%
epoch=004,Accuracy= 0.786%
epoch=005,Accuracy= 0.804%
epoch=006,Accuracy= 0.820%
epoch=007,Accuracy= 0.796%
epoch=008,Accuracy= 0.846%
epoch=009,Accuracy= 0.838%
epoch=010,Accuracy= 0.815%
epoch=011,Accuracy= 0.823%
epoch=012,Accuracy= 0.841%
epoch=013,Accuracy= 0.847%
epoch=014,Accuracy= 0.830%
epoch=015,Accuracy= 0.833%
epoch=016,Accuracy= 0.859%
epoch=017,Accuracy= 0.864%
epoch=018,Accuracy= 0.844%
epoch=019,Accuracy= 0.864%
epoch=020,Accuracy= 0.852%
epoch=021,Accuracy= 0.852%
epoch=022,Accuracy= 0.851%
epoch=023,Accuracy= 0.861%
epoch=024,Accuracy= 0.852%
epoch=025,Accuracy= 0.842%
epoch=026,Accuracy= 0.875%
epoch=027,Accuracy= 0.873%
epoch=028,Accuracy= 0.877%
epoch=029,Accuracy= 0.865%
epoch=030,Accuracy= 0.874%
epoch=031,Accuracy= 0.863%
epoch=032,Accuracy= 0.867%
epoch=033,Accuracy= 0.839%
epoch=034,Accuracy= 0.864%
epoch=035,Accuracy= 0.862%
epoch=036,Accuracy= 0.863%
epoch=037,Accuracy= 0.865%
epoch=038,Accuracy= 0.880%
epoch=039,Accuracy= 0.862%
epoch=040,Accuracy= 0.872%
epoch=041,Accuracy= 0.866%
epoch=042,Accuracy= 0.865%
epoch=043,Accuracy= 0.869%
epoch=044,Accuracy= 0.868%
epoch=045,Accuracy= 0.864%
epoch=046,Accuracy= 0.874%
epoch=047,Accuracy= 0.871%
epoch=048,Accuracy= 0.882%
epoch=049,Accuracy= 0.881%
epoch=050,Accuracy= 0.842%
