[epoch:1, iter:1] Loss: 2.553 | Acc: 10.156% 
[epoch:1, iter:21] Loss: 4.342 | Acc: 13.504% 
[epoch:1, iter:41] Loss: 3.513 | Acc: 15.454% 
[epoch:1, iter:61] Loss: 3.136 | Acc: 17.892% 
[epoch:1, iter:81] Loss: 2.942 | Acc: 19.136% 
[epoch:1, iter:101] Loss: 2.784 | Acc: 20.235% 
[epoch:1, iter:121] Loss: 2.657 | Acc: 21.442% 
[epoch:1, iter:141] Loss: 2.575 | Acc: 22.313% 
[epoch:1, iter:161] Loss: 2.501 | Acc: 23.093% 
[epoch:1, iter:181] Loss: 2.427 | Acc: 23.973% 
[epoch:1, iter:201] Loss: 2.374 | Acc: 24.697% 
[epoch:1, iter:221] Loss: 2.322 | Acc: 25.523% 
[epoch:1, iter:241] Loss: 2.278 | Acc: 26.355% 
[epoch:1, iter:261] Loss: 2.238 | Acc: 27.000% 
[epoch:1, iter:281] Loss: 2.201 | Acc: 27.733% 
[epoch:1, iter:301] Loss: 2.169 | Acc: 28.361% 
[epoch:1, iter:321] Loss: 2.139 | Acc: 28.831% 
[epoch:1, iter:341] Loss: 2.113 | Acc: 29.337% 
[epoch:1, iter:361] Loss: 2.086 | Acc: 29.969% 
[epoch:1, iter:381] Loss: 2.062 | Acc: 30.463% 
[epoch:2, iter:392] Loss: 1.589 | Acc: 44.531% 
[epoch:2, iter:412] Loss: 1.594 | Acc: 41.778% 
[epoch:2, iter:432] Loss: 1.567 | Acc: 42.721% 
[epoch:2, iter:452] Loss: 1.563 | Acc: 42.495% 
[epoch:2, iter:472] Loss: 1.573 | Acc: 41.975% 
[epoch:2, iter:492] Loss: 1.576 | Acc: 41.545% 
[epoch:2, iter:512] Loss: 1.573 | Acc: 41.561% 
[epoch:2, iter:532] Loss: 1.575 | Acc: 41.766% 
[epoch:2, iter:552] Loss: 1.567 | Acc: 42.183% 
[epoch:2, iter:572] Loss: 1.562 | Acc: 42.429% 
[epoch:2, iter:592] Loss: 1.560 | Acc: 42.436% 
[epoch:2, iter:612] Loss: 1.559 | Acc: 42.474% 
[epoch:2, iter:632] Loss: 1.554 | Acc: 42.645% 
[epoch:2, iter:652] Loss: 1.548 | Acc: 42.849% 
[epoch:2, iter:672] Loss: 1.543 | Acc: 43.124% 
[epoch:2, iter:692] Loss: 1.537 | Acc: 43.337% 
